scheme_code,scheme_name,fund_house,category,latest_nav_date,latest_nav,latest_date,return_1y,return_3y,return_5y,volatility,score_1y,score_3y,score_5y,score
119082,DSP Credit Risk Fund - Direct Plan - Growth,DSP Mutual Fund,debt,2026-08-28,60.6747,2026-08-28,11.21198290983676,16.782150010796414,13.319260646698927,4.471038820071898,98.18181818181819,100.0,100.0,99.45454545454545
134387,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,debt,2026-08-28,28.0722,2026-08-28,13.004343503061389,13.160065532929078,10.905607688653474,2.6400907511461114,100.0,98.14814814814815,97.87234042553192,98.62096138691884
120711,ICICI Prudential Credit Risk Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,debt,2026-08-28,38.6255,2026-08-28,8.88427830038423,9.18183696149657,8.059724624351361,1.4475262847887642,96.36363636363636,92.5925925925926,89.36170212765957,92.75463858442582
130722,Invesco India Credit Risk Fund - Direct Plan - Growth,Invesco Mutual Fund,debt,2026-08-28,2348.702,2026-08-28,8.349071468115987,9.66363572042952,8.454957137631247,2.9166520532032054,90.9090909090909,94.44444444444444,91.48936170212765,92.49731356114334
130314,Axis Credit Risk Fund - Direct Plan - Growth,Axis Mutual Fund,debt,2026-08-28,26.3833,2026-08-28,8.670741653005587,8.857606584946875,7.704983330424198,1.5752219556540479,94.54545454545455,88.88888888888889,82.97872340425532,88.81280894046851
118780,Nippon India Credit Risk Fund - Direct Plan - Growth Plan,Nippon India Mutual Fund,debt,2026-08-28,42.2016,2026-08-28,7.929996496244329,8.92415337068031,7.908109437588728,3.9965552426579642,87.27272727272727,90.74074074074075,87.2340425531915,88.64832724407192
119798,SBI CREDIT RISK FUND - DIRECT PLAN -GROWTH,SBI Mutual Fund,debt,2026-08-28,54.0657,2026-08-28,8.475919520396769,8.62732993867985,7.76636895610574,1.2766643684167291,92.72727272727272,85.18518518518519,85.1063829787234,87.42417078587292
133488,Baroda BNP Paribas Credit Risk Fund -Direct-Growth Option,Baroda BNP Paribas Mutual Fund,debt,2026-08-20,26.414,2026-08-20,7.042413337547915,8.374605268119172,9.32593958035255,2.5436815947853906,83.63636363636363,83.33333333333334,93.61702127659575,86.50934880722114
120764,UTI Credit Risk Fund - Direct Plan - Growth Option,UTI Mutual Fund,debt,2026-08-28,20.834,2026-08-28,6.884875846501126,7.82534304338951,10.205693598839204,6.2128303348778795,81.81818181818183,77.77777777777779,95.74468085106383,84.37996991188481
119741,Kotak Credit Risk Fund - Growth - Direct,Kotak Mahindra Mutual Fund,debt,2026-08-28,36.2538,2026-08-28,8.107672901961838,8.651152173603037,6.790746041004758,1.829829331721828,89.0909090909091,87.03703703703704,68.08510638297872,81.96761945698115
