scheme_code,scheme_name,fund_house,category,latest_nav_date,latest_nav,latest_date,return_1y,return_3y,return_5y,volatility,score_1y,score_3y,score_5y,score
120392,Invesco India Largecap Fund - Direct Plan - Growth,Invesco Mutual Fund,large_cap,2026-08-28,89.77,2026-08-28,9.716450745538996,16.176577449783846,13.291474641413114,15.591838494913674,90.9090909090909,96.66666666666667,96.29629629629629,94.82828282828282
118870,Taurus Large Cap Fund - Direct Plan - Growth,Taurus Mutual Fund,large_cap,2026-08-28,180.8,2026-08-28,11.261538461538478,15.115974534254395,11.594133996439648,16.060912713924875,96.96969696969697,90.0,77.77777777777779,88.42424242424244
148980,BANK OF INDIA Large Cap Fund Direct Plan Growth,Bank of India Mutual Fund,large_cap,2026-08-28,18.19,2026-08-28,10.982306284319709,15.064880497071776,11.154636491688553,14.594010387191517,93.93939393939394,86.66666666666667,66.66666666666666,82.84848484848484
118479,BANDHAN Large Cap Fund-Direct Plan-Growth,Bandhan Mutual Fund,large_cap,2026-08-28,92.437,2026-08-28,5.8612673072298005,14.677527617182395,12.111899044096642,15.59376315787662,78.78787878787878,83.33333333333334,81.48148148148148,81.41414141414141
120490,JM Large Cap Fund (Direct) - Growth Option,JM Financial Mutual Fund,large_cap,2026-08-28,182.2768,2026-08-28,6.083248993303059,13.404652181598454,12.286669530399141,13.510837522492672,81.81818181818183,76.66666666666667,85.18518518518519,80.76767676767678
119160,Tata Large Cap Fund -Direct Plan Growth Option,Tata Mutual Fund,large_cap,2026-08-28,596.8792,2026-08-28,6.169916206622483,12.347424213637105,11.29982687268567,15.807654888539114,84.84848484848484,63.33333333333333,70.37037037037037,71.8989898989899
150440,quant Large Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,large_cap,2026-08-28,17.1634,2026-08-28,12.3575351702377,16.24813903884368,,15.197641468188314,100.0,100.0,,70.0
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,large_cap,2026-08-28,101.3819,2026-08-28,0.8250432859318035,12.902196209335038,14.88409446218457,16.606640390189852,21.21212121212121,73.33333333333333,100.0,65.69696969696969
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,Edelweiss Mutual Fund,large_cap,2026-08-28,98.47,2026-08-28,4.521812971022188,12.090164390481073,11.511165634329611,15.103545470837057,66.66666666666666,50.0,74.07407407407408,62.22222222222222
119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,Groww Mutual Fund,large_cap,2026-08-28,52.9,2026-08-28,4.174871996849139,12.787467390154017,10.798555848694825,16.122424898345734,60.60606060606061,66.66666666666666,55.55555555555556,61.515151515151516
